like1,parP0,parHs,parD,parr,parphi_soil_top,parphi_weathered_top,parphi_fresh,simulation_0,chain
1.7127692,0.00017603477,0.783654,0.0009439313,0.28939885,0.5622433,0.38925532,0.0687295,1.7127692,0.0
3.570723,0.00015183279,0.20156144,0.0019346725,0.889846,0.4892744,0.40219632,0.07300373,3.570723,0.0
1.923223,8.807179e-05,0.24300508,0.0003095844,0.48146656,0.45833048,0.4443842,0.0558257,1.923223,0.0
2.6618958,7.30798e-05,0.57395285,0.0002845892,0.6428518,0.5544277,0.4407433,0.05187554,2.6618958,0.0
2.2277374,7.286134e-05,0.25742906,0.0011770291,0.8168273,0.51745325,0.42543247,0.09036412,2.2277374,0.0
2.732545,4.926436e-05,0.9669433,0.0007411814,0.7909312,0.5541002,0.33413145,0.07421996,2.732545,0.0
1.9653416,0.00012581142,0.51815236,0.0018540506,0.48115528,0.5664122,0.3069308,0.06402818,1.9653416,0.0
2.731541,0.00013569482,0.8479932,0.00074102957,0.7129654,0.50103503,0.44182312,0.05846541,2.731541,0.0
2.2901888,4.7047215e-05,0.873695,0.0018690852,0.43442428,0.49247327,0.27411598,0.05613478,2.2901888,0.0
2.519668,0.00015546718,0.47455302,0.0017285993,0.5374897,0.5856521,0.26928028,0.059122328,2.519668,0.0
2.7635539,0.00017307814,0.93511087,0.0011713261,0.6447663,0.49571115,0.38710475,0.051591888,2.7635539,0.0
1.4672879,7.395804e-05,0.5171405,0.0011964317,0.38509122,0.5651584,0.36793578,0.088777296,1.4672879,0.0
1.4638213,0.00011445057,0.54004496,0.0006044837,0.71215224,0.5904701,0.42936867,0.095678836,1.4638213,0.0
1.4049858,0.000112564674,0.79451793,0.0013754105,0.4638073,0.5095164,0.3196325,0.07890051,1.4049858,0.0
2.9417858,9.878589e-05,0.49920794,0.00015984959,0.7866287,0.46419385,0.4250589,0.06607071,2.9417858,0.0
4.5831833,3.850627e-05,0.68316853,0.000606225,0.93387187,0.49577722,0.37210026,0.05768703,4.5831833,0.0
2.5477538,0.00016663862,0.68930763,0.0005604863,0.8419343,0.49698582,0.43092728,0.08370662,2.5477538,0.0
1.3442662,5.1247902e-05,0.3745849,0.0007563245,0.27593452,0.47849444,0.27365184,0.077879235,1.3442662,0.0
4.1562014,0.00015998271,0.700067,0.0011893162,0.92138684,0.58437914,0.37028402,0.06368323,4.1562014,0.0
1.4287498,0.00017041154,0.21927734,0.0018574821,0.38139468,0.48986226,0.3650004,0.08952326,1.4287498,0.0
3.7055557,0.00010179742,0.7938285,0.0019082988,0.8897258,0.5441963,0.2535539,0.07070212,3.7055557,0.0
1.8202074,9.3141745e-05,0.55759996,0.001556881,0.50238144,0.4910062,0.41410923,0.062250372,1.8202074,0.0
2.050503,6.639268e-05,0.22287384,0.0005177756,0.6488233,0.4881964,0.4365942,0.06951303,2.050503,0.0
1.3366785,0.00015283097,0.8045663,0.00024928676,0.3303768,0.5619125,0.28414935,0.0798821,1.3366785,0.0
1.8947245,0.00017118154,0.40232676,0.00033932718,0.63632125,0.52499557,0.36062482,0.07602662,1.8947245,0.0
2.3089478,0.00016697086,0.7141894,0.0019662797,0.6339105,0.5748314,0.40202647,0.061878473,2.3089478,0.0
1.533177,7.763757e-05,0.6335353,0.0004110064,0.43526822,0.46283677,0.42813367,0.092530526,1.533177,0.0
3.207532,0.000119794015,0.4150954,0.0013045488,0.81732273,0.5004347,0.38094926,0.066479735,3.207532,0.0
2.038538,0.00014351917,0.16118972,0.0009705425,0.6857786,0.4950593,0.40592945,0.0764906,2.038538,0.0
2.5398943,0.0001623002,0.18427688,0.0018881336,0.64190364,0.48054394,0.32021335,0.06496344,2.5398943,0.0
3.0832236,0.00012693436,0.47900257,0.0010464528,0.7533289,0.5037254,0.26556227,0.067250356,3.0832236,0.0
